code,synonyms
"107301ATR","소아용아스콘틴서방정"
"107302BIJ","대원아미노필린주사액(수출명:아미핀주(아미노필린수화물,대한아미노필린주사액,아미린주,제일아미노필린주사액,휴온스아미노필린주사액"
"107303ATR","아스콘틴서방정"
"107330BIJ","대원아미노필린주사액[수출명:아미핀주(아미노필린수화물)(AmipineInj.)],대한아미노필린주사액,제일아미노필린주사액,휴온스아미노필린주사액"
"107401ATB","아미론정,코다론정"
"107501ATB","명인아미트리프틸린염산염정10밀리그람,에나폰정,에트라빌10밀리그램정"
"107502ATB","명인염산아미트리프틸린정25밀리그람,에트라빌25밀리그램정"
"107601ATB","국제암로디핀정5밀리그람,네오드로핀정,노마로크정,노바넬정,노바디크정,노바딘정,노바로크정,노바모핀정,노바스정,노바스칸정"
"107602ATB","노바스크정,뉴암로디프정,다비디핀정,동화암로디핀베실산염정10밀리그램,디로바정,바로디핀정,바로스크정,베로디핀정,베실로핀정,시암로핀정"
"107701CLT","락하이드린로오숀,타로암모늄락테이트로션"
"107802CLQ","로세릴네일라카,클리넬네일라카,파마아모롤핀네일라카"
"107803CCM","로마릴크림,로세릴크림"
"107830CCM","로마릴크림,로세릴크림"
"107832CLQ","로세릴네일라카,제이릴네일라카,퓨어릴네일라카"
"107833CLQ","넬케어네일라카,넬큐어네일라카,동성아모롤핀네일라카,로마릴네일라카,로세릴네일라카,롤핀네일라카,뷰티네일라카,삼성아모롤핀네일라카,아모넬네일라카,아모롤네일라카"
"108101ACH","곰실린캡슐250밀리그람,아목사펜캡슐(아목시실린수화물,에이목스캡슐,에이씰린캡슐,일동아목시실린수화물캡슐250밀리그램,중외아목시실린캡슐250밀리그램,키목신캡슐,파목신캡슐"
"108103ACH","곰실린캡슐,목실린캡슐,아목시스캡슐,에이목스캡슐,에이씰린캡슐,유목센캡슐,일동아목시실린수화물캡슐500밀리그램,일동아목시실린캅셀,종근당아목시실린캡슐500밀리그램,중외아목시실린캡슐500밀리그램"
"109001ATB","아나덱스정,아나로졸정,아나스토정,아나스프린정,아리미덱스정,아리미스타정,아트로졸정,에이덱스정,테바아나스트로졸정,페미젯정"
"109101COO","듀라티얼즈안연고,오큐티얼즈안연고"
"109201BIJ","훼이바에스티아이엠4주사,훼이바주"
"109301BIJ","안티트롬빈III주,에스케이항트롬빈III주"
"109501BIJ","보란건조살무사항독소주,에스케이건조살무사항독소주,에스케이살무사항독소주,코박스건조살무사항독소주"
"109702BIJ","로티닌주50만단위,아프로팀빈주사50만단위"
"109901ALQ","거드액,동광알긴산나트륨액,라미나지액(알긴산나트륨,스토린액,알기나지액,알기스액,알기큐액,알기텍트액,알긴스액,알긴엔액"
"109931ALQ","거드액,동광알긴산나트륨액,라나프액,라미나지액(알긴산나트륨,라미원액,라미푸르브액,라미프액,미스파액,바이넥스알긴산액,스토린액"
"109932ALQ","거드액,동광알긴산나트륨액,라미나지액(알긴산나트륨,미스파액,스토린액,알기텍트액,알긴지액,알스맥액,알지겐액,알지나액"
"109937ALQ","라미나지액(알긴산나트륨,스토린액,알긴지액,알스맥액,알지겐액,알지나액,알지드액,알지셀액,엔도가드액"
"110001ACH","레녹실캡슐(아르기닌치아졸리딘카르복실레이트,알필캅셀"
"110001ATB","리버필정,리크린정,술필정,알필정(아르기닌치아졸리딘카르복실레이트"
"110201ATB","알말정,알잘정"
"110202ATB","알말정,알잘정"
"110401ATB","마이팜아스코르빈산정1000밀리그람,비타씨정1000밀리그람"
"110402BIJ","대한아스코르브산주사액,제일제약아스코르브산주사액,칸탄주사100밀리그람"
"110404ATB","아스코정,휴온스아스코르브산정"
"110404BIJ","대원아스코르빈산주사액,비스코빈주,제일제약아스코르브산주사액500밀리그람,휴메딕스아스코르브산주사,휴온스아스코르브산주사"
"110405ATB","부광아스코르브산정50밀리그램,씨엠지아스코르브산정50mg,아코빈50mg정"
"110406BIJ","대원아스코르빈산주사액,시코빈주사,씨코빅주,유니씨주"
"110407BIJ","대한뉴팜비타민씨주,비스코빈주,유니씨주"
"110430BIJ","대한아스코르브산주사액,제일제약아스코르브산주사액"
"110431BIJ","대원아스코르브산주사액500mg,맥피민씨주,제일제약아스코르브산주사액500밀리그람,휴메딕스아스코르브산주사,휴온스아스코르브산주사"
"110433BIJ","대원아스코르브산주사액 1ml,대원아스코르브산주사액1ml,동구아스코르브주,시코빈주사,씨코빅주"
"110501BIJ","레보멜스주,리브락정주,아스텍주(엘 아스파라긴산 엘 오르니친,아스텍주(엘아스파라긴산엘오르니친,오르파주(엘 아스파라긴산 엘 오르니틴,오르파주(엘아스파라긴산엘오르니틴,오스파주사액,헤파니친주(엘아스파라긴산엘오르니친,헤파멜즈주"
"110502BIJ","레바토닐인퓨전,레보멜스주사액(엘 아스파라긴산 엘 오르니친,레보멜스주사액(엘아스파라긴산엘오르니친,리벨인퓨전주,리브락인퓨전주사액,아스텍인퓨전,유니인퓨전주,헤파멜즈인퓨전주,헤포나주,헤포리브주"
"110530BIJ","레보멜스주(L 아스파르트산 L 오르니틴)(수출명:호르텍 엘주(L 아스파르트산 L 오르니틴) 헬탄주,레보멜스주(L아스파르트산L오르니틴)(수출명:호르텍엘주(L아스파르트산L오르니틴)헬탄주,리브락정주,아스텍주,오르파주,오스파주사액,오스파주사액(엘 아스파라긴산 엘 오르니친,오스파주사액(엘아스파라긴산엘오르니친,헤파니친주(L 아스파르트산 L 오르니틴수화물,헤파니친주(L아스파르트산L오르니틴수화물"
"110531BIJ","레바토닐인퓨전(L 아스파르트산 L 오르니틴,레바토닐인퓨전(L아스파르트산L오르니틴,레보멜스주사액(L 아스파르트산 L 오르니틴,레보멜스주사액(L아스파르트산L오르니틴,로라멜즈인퓨전주,리벨인퓨전주,리브락인퓨전주,아스텍인퓨전,오스인퓨전주,오스파인퓨전주"
"110701ATB","바이엘아스피린정100밀리그람,신풍어린이용아스피린정"
"110702ATB","바이엘아스피린정500밀리그람,신풍아스피린정"
"110902BIJ","신풍아스피린리신주,알타질주"
"111001ACE","보령바이오아스트릭스캡슐,보령아스트릭스캡슐100밀리그람,아르테빈캡슐,아스피어캡슐,오스틴아스피린캡슐"
"111001ATE","경동아스피린장용정,경보아스피린장용정,광동아스피린장용정100mg,국제아스피린장용정100mg,글로아스피린장용정,넥스핀장용정,뉴스피린장용정,다나릭스장용정,대웅바이오아스피린장용정100밀리그램,대웅아스피린장용정"
"111002ATE","서클베인장용정,아스장용정"
"111003ATE","넥스핀정,린피스정,씨트리아스피린정,아사톱장용정,아스핀장용정"
"111301BIJ","아토신주,포티미신주"
"111402ATB","대웅아테놀롤정25밀리그램,신일아테놀올정,아테노린정,현대테놀민정25밀리그람"
"111403ATB","구주아테놀올정,국제아테놀롤정,뉴젠팜아테놀올정,대우아테놀올정,대웅바이오아테놀롤정50밀리그램,대웅아테놀롤정50밀리그램,디텐트정(아테놀올)[수출명:대원아테놀올정 디텐트 케이정],디텐트정(아테놀올)[수출명:대원아테놀올정디텐트케이정],라이트아테놀롤정,로테날정"
"111501ATB","광동아토르바스타틴정,글로스타정,네오아토정,뉴스타정,뉴스타틴에이정,뉴아토르타정,뉴토르정,뉴펙스정,뉴피토정,다림아토르바스타틴정"
"111502ATB","광동아토르바스타틴정,글로스타정,네오아토정,뉴스타틴에이정,뉴아토르타정,뉴토르정,뉴펙스정,뉴피토정,다림아토르바스타틴정,대웅바이오아토르바스타틴정"
"111503ATB","뉴스타틴에이정,뉴아토르타정,다림아토르바스타틴정,대웅바이오아토르바스타틴정,라도바정,라이트아토르바스타틴정,리바틴정,리포액틴정,리피노정,리피논정"
"111504ATB","대웅바이오아토르바스타틴정,리피논정,리피로우정,리피토정,스피틴정,토바스트정,토바스틴정,휴온스아토르바스타틴정"
"111601BIJ","아쿠렉스주,아크리움주사,아트라주(베실산아트라쿠륨,트라리움주(베실산아트라쿠륨)[수출명: Newtrium Inj.],트라리움주(베실산아트라쿠륨)[수출명:NewtriumInj.]"
"111630BIJ","아크리움주사,아트라주"
"111801BIJ","대한아트로핀황산염주사액,제일아트로핀황산염주사액"
"111801COS","오큐트로핀점안액(아트로핀황산염수화물,이솝토아트로핀점안제"
"111802BIJ","대우황산아트로핀주,대원황산아트로핀주사액,대한아트로핀황산염주사액,제일아트로핀황산염주사액,휴온스아트로핀황산염주사액"
"111830BIJ","대원황산아트로핀주사액,대한아트로핀황산염주사액,제일아트로핀황산염주사액"
"111831BIJ","대한아트로핀황산염주사액,제일아트로핀황산염주사액"
"111832COS","오큐트로핀점안액(아트로핀황산염수화물"
"111901ACH","레벡스캅셀,리바코란캅셀,리버텐캅셀,리코벡캅셀,바스코캅셀,바이리버캡슐,운코란캡슐(운지다당체,크리오캅셀"
"112201ACH","이모튼캡슐"
"112301COS","카타락점안액,퀴낙스점안액"
"112401ATB","아자비오정,아자치오프린피씨에치정,아자티맥정,아자프린정(아자티오프린,이무테라정,이뮤란정,테바아자티오프린정"
"112402ATB","아자비오정,아자티맥정,아자프린정,이무테라정"
"112501ATB","글로스틴정,동성아젤라스틴정,라이트아젤라정,마이스틴정,메가젤틴정,부광아젭틴정,삼성아젤라스틴정,서울아젤라스틴염산염정,셀라스틴정,셀스틴정"
"112503COS","아이젭점안액,아제란점안액(아젤라스틴염산염,아제클점안액"
"112530COS","아제란점안액(염산아젤라스틴"
"112531COS","아이젭점안액,아제클점안액"
"112532COS","아제란점안액(염산아젤라스틴"
"112701ATB","비노지트정,산도스아지트로마이신정250밀리그램,아마이신정,아지로맥스정,아지로신정,아지탑스정,지스로맥스정250밀리그람,큐엘파마아지트로마이신수화물정"
"112702ASY","경보아지스로마이신건조시럽,글로아지트로마이신건조시럽,대웅아지트로마이신건조시럽,대화아지스로마이신건조시럽,드림파마아지스로마이신건조시럽,로스지아건조시럽,로지아건조시럽,리치스로맥스건조시럽,마크로맥스건조시럽,비아지트건조시럽"
"112732ASY","대웅아지트로마이신건조시럽,아스맥신건조시럽,아자스건조시럽,아제토건조시럽,아주스틴건조시럽,아지맥스건조시럽,아지브이건조시럽,아지탑스건조시럽,아지트라건조시럽,지스로맥스건조시럽"
"112733ASY","아주스틴건조시럽,아지탑스건조시럽,아지트라건조시럽,지스로맥스건조시럽"
"112734BIJ","아지탑스주사,지스로맥스주사"
"113001BIJ","메소팜주1그람,메작탐주사(아즈트레오남)[수출명:인바이오넷메작탐주사(아즈트레오남)],아작탐주사1그람,유니작탐주사"
"113002BIJ","메소팜주500밀리그람,메작탐주사(아즈트레오남)[수출명:인바이오넷메작탐주사(아즈트레오남)],아작탐주사500밀리그람,유니작탐주사"
"113101ATB","바카펜정,바캄씰린정"
"113201ACH","두배락캡슐,락비오캡슐,락시러스캡슐,락토민지캡슐,락토셀캡슐,락토엔큐캡슐,리케락캡슐,바시판포르미캡슐,바실리스캡슐,바실리켄캡슐"
"113201AGN","리케루스과립,정장생과립"
"113201APD","두배락산,바리켄산,바실락산,바실리켄산,바실페디산,비스칸엔산,비알에스락산,비오딘산,에스락산,에시플엔산"
"113231APD","비알에스락산,에시플엔산"
"113232APD","두배락산,라시베베산,락토엔큐산,리케락산,바리켄산,바시판포르미산,바실리스산,바실리켄산,바실리포미스산,바실페디산"
"113304ATB","비스칸정,엔토비정,포리마정"
"113501ATB","뉴젠팜바클로펜정10밀리그램,대우바클로펜정10밀리그램,동구바클로펜정10밀리그람,바라파정,바로판10밀리그람정,바크라폰정,바크론정10밀리그람,바클란정,바클렌정,바클펜정"
"113501BIJ","리오레살주"
"113502ATB","넥스팜바클로펜정20밀리그람,레고켐바클로펜정,프렉스정"
"113504ATB","바크론정5밀리그람,프렉스정"
"113601ATB","밤벡정,밤부날정,밤부콜정10밀리그람,밤부톨정,밤비정(염산밤부테롤,밤테롤정,아스테롤정,에이테롤정"
"113602ASY","밤부날시럽,아스테롤시럽"
