rank,term,frequency,category,length
295,관상동맥스텐트,11,상세해부구조,7
296,인증결과,11,기타전문용어,4
297,Infectious Diseases Society,11,영문복합의학용어,27
298,표준영상과,11,기타전문용어,5
299,양성자방사선,11,상세해부구조,6
300,반월상연골,11,상세해부구조,5
301,신경자극기,11,상세해부구조,5
302,재활의학과,11,기타전문용어,5
303,예측하기,11,의료기기치료재료,4
304,복강내압측정,11,전문검사진단,6
305,반흔구축성형술,11,구체적수술시술,7
306,방지하기,11,의료기기치료재료,4
307,Balloon Catheter,11,영문복합의학용어,16
308,Teriparatide,11,기타전문용어,12
309,요소호흡검사,11,전문검사진단,6
310,MRI 건강보험,11,기타전문용어,8
311,뇌동정맥기형적출술,11,구체적수술시술,9
312,기관지경검사,11,전문검사진단,6
313,요류역학검사,11,전문검사진단,6
314,결핵균검사,11,전문검사진단,5
315,혈중약물검사,11,전문검사진단,6
316,급여인정기,11,의료기기치료재료,5
317,골수천자생검,11,전문검사진단,6
318,폴리뉴클레오티드나트륨,10,약물성분명,11
319,인공판막,10,상세해부구조,4
320,Denosumab,10,영문약물명,9
321,혈관성질환,10,복합질병명,5
322,Clarithromycin,10,영문약물명,14
323,영상의학과,10,기타전문용어,5
324,부정맥고주파절제술,10,구체적수술시술,9
325,심전도검사,10,전문검사진단,5
326,미세수술적다중고환조직,10,상세해부구조,11
327,하부장관스텐트,10,의료기기치료재료,7
328,대동맥판막치환술,10,구체적수술시술,8
329,미국마취과,10,기타전문용어,5
330,적용시기,10,의료기기치료재료,4
331,MRI 촬영,10,전문검사진단,6
332,자가골연골이식술,10,구체적수술시술,8
333,자가골연골,10,상세해부구조,5
334,척추체제거술,10,구체적수술시술,6
335,십자인대성형술,10,구체적수술시술,7
336,피하단열수술,10,구체적수술시술,6
337,체외금속고정술,10,구체적수술시술,7
338,치은박리소파수술,10,구체적수술시술,8
339,지노트로핀,10,기타전문용어,5
340,방사선영상진단,10,전문검사진단,7
341,Chronic Obstructive Pulmonary Disease,10,영문복합의학용어,37
342,유전자형검사,10,전문검사진단,6
343,잠복결핵질환,10,복합질병명,6
344,뇌유발전위검사,10,전문검사진단,7
345,맥도널드진단기,10,의료기기치료재료,7
346,Teriflflunomide,10,기타전문용어,15
347,맥도널드진단,10,전문검사진단,6
348,눈물분비기능검사,10,전문검사진단,8
349,눈물분비기,10,의료기기치료재료,5
350,유두괄약근절개술,10,구체적수술시술,8
351,산도스타틴라르,10,기타전문용어,7
352,형간염항체검사,10,전문검사진단,7
353,포도당부하검사,10,전문검사진단,7
354,병용금기,10,의료기기치료재료,4
355,유양동폐쇄술,10,구체적수술시술,6
356,뇌혈류측정검사,10,전문검사진단,7
357,Lebrikizumab,9,영문약물명,12
358,엡글리스오토인젝터,9,기타전문용어,9
359,골수이형성증후군,9,복합질병명,8
360,린버크서방,9,기타전문용어,5
361,Chronic Kidney Disease,9,영문복합의학용어,22
362,심의결과,9,기타전문용어,4
363,계속적복막,9,상세해부구조,5
364,계속적복막관류술,9,구체적수술시술,8
365,Ganciclovir,9,기타전문용어,11
366,Extra Corporeal Membrane Oxygenation,9,영문복합의학용어,36
367,위식도역류질환,9,복합질병명,7
368,Azithromycin,9,영문약물명,12
369,유지하기,9,의료기기치료재료,4
370,허가초과,9,기타전문용어,4
371,적용하기,9,의료기기치료재료,4
372,내시경하추간판제거술,9,구체적수술시술,10
373,예방하기,9,의료기기치료재료,4
374,의급여기,9,의료기기치료재료,4
375,상후두기도유지기,9,의료기기치료재료,8
376,흉부외과,9,기타전문용어,4
377,미제출기,9,의료기기치료재료,4
378,태아심음자궁수축검사,9,전문검사진단,10
379,혈액응고장애,9,복합질병명,6
380,전립선비대증,9,상세해부구조,6
381,전기충격요법,9,구체적수술시술,6
382,세부적용기,9,의료기기치료재료,5
383,단일광자단층촬영,9,전문검사진단,8
384,다음분기,9,의료기기치료재료,4
385,좌심방이폐색술,9,구체적수술시술,7
386,복합부위통증증후군,9,복합질병명,9
387,요역동학검사,9,전문검사진단,6
388,심실기능부전,9,복합질병명,6
389,정부국정과,9,기타전문용어,5
390,기관지내시경,9,기타전문용어,6
391,갑상선기능검사,9,전문검사진단,7
392,Pantoprazole,9,영문약물명,12
393,Velpatasvir,9,기타전문용어,11
394,쇄골하정맥,9,상세해부구조,5
395,관상동맥조영,9,전문검사진단,6
396,인공환기요법,9,구체적수술시술,6
397,인공환기,9,의료기기치료재료,4
398,전염성연속종제거술,9,구체적수술시술,9
399,유전성질환,9,복합질병명,5
400,Acyclovir,9,기타전문용어,9
401,아이비글로불린에스,9,기타전문용어,9
402,중금속검사,9,전문검사진단,5
403,조기양막,9,상세해부구조,4
404,적혈구자성화기술,9,구체적수술시술,8
405,적혈구자성화기,9,의료기기치료재료,7
406,Carbamazepine,9,기타전문용어,13
407,포사코나졸약물정량검사,9,전문검사진단,11
408,글자지우기검사,9,전문검사진단,7
409,글자지우기,9,의료기기치료재료,5
410,Darunavir,9,기타전문용어,9
411,인공심박동기,9,의료기기치료재료,6
412,메탈라제,9,기타전문용어,4
